ID,op_status,total_funding_usd,funding_rounds,first_funding_date,last_funding_date,num_investors,funding_duration,first_funding_utc,last_funding_utc,successful_investment
0,closed,6820000,1,04-05-2005,04-05-2005,4,0,12907,12907,0
1,acquired,,1,30-03-2001,30-03-2001,1,0,11411,11411,1
2,operating,165778,5,25-10-2012,27-05-2014,4,579,15638,16217,0
3,closed,5000000,1,01-01-2005,01-01-2005,1,0,12784,12784,0
4,operating,15250000,2,01-07-2014,15-09-2015,4,441,16252,16693,0
5,ipo,8000000,1,01-07-1995,01-07-1995,1,0,9312,9312,1
6,operating,132222,2,23-04-2014,01-08-2014,2,100,16183,16283,0
7,closed,50000,1,07-04-2010,07-04-2010,1,0,14706,14706,0
8,operating,13500000,1,04-12-2005,04-12-2005,3,0,13121,13121,0
9,operating,400000,1,22-09-2015,22-09-2015,1,0,16700,16700,0
10,operating,500000,1,04-03-2015,04-03-2015,2,0,16498,16498,0
11,operating,1180000000,2,14-11-2012,21-05-2015,5,918,15658,16576,0
12,acquired,10000000,1,19-11-2001,19-11-2001,4,0,11645,11645,1
13,operating,30000,1,28-08-2014,28-08-2014,1,0,16310,16310,0
14,acquired,29866459,2,25-05-2009,06-10-2009,3,134,14389,14523,1
15,operating,48748,2,01-07-2013,01-01-2014,2,184,15887,16071,0
16,closed,1050000,3,01-09-2012,09-09-2013,6,373,15584,15957,0
17,operating,5025000,3,15-09-2011,09-03-2014,2,906,15232,16138,0
18,closed,1938000,5,22-09-2000,17-11-2003,5,1151,11222,12373,0
19,operating,2060000,2,01-06-2006,01-02-2007,1,245,13300,13545,0
20,operating,1200000,2,31-03-2009,26-04-2012,2,1122,14334,15456,0
21,acquired,5820000000,6,11-12-2001,27-02-2013,21,4096,11667,15763,1
22,operating,2500000,1,01-07-2013,01-07-2013,1,0,15887,15887,0
23,operating,11200000,1,18-06-2015,18-06-2015,1,0,16604,16604,0
24,operating,1600000,3,01-03-2010,01-11-2011,3,610,14669,15279,0
25,operating,,1,31-05-2011,31-05-2011,1,0,15125,15125,0
26,operating,10000,1,22-04-2009,22-04-2009,1,0,14356,14356,0
27,operating,661500,1,22-02-2012,22-02-2012,2,0,15392,15392,0
28,acquired,46000000,3,24-09-2001,25-04-2006,11,1674,11589,13263,1
29,ipo,113000000,4,27-11-2012,06-01-2015,8,770,15671,16441,1
30,acquired,20300000,2,01-01-2005,17-08-2007,4,958,12784,13742,1
31,acquired,13292327,2,27-02-2009,14-07-2009,2,137,14302,14439,1
32,operating,26000000,1,01-07-2003,01-07-2003,3,0,12234,12234,0
33,operating,8944808,5,15-10-2007,12-06-2014,8,2432,13801,16233,0
34,operating,1500000,1,01-11-2012,01-11-2012,1,0,15645,15645,0
35,acquired,74500000,3,27-07-1998,05-05-2000,13,648,10434,11082,1
36,acquired,56428000,2,04-01-2008,16-09-2010,4,986,13882,14868,1
37,closed,,1,01-08-2015,01-08-2015,2,0,16648,16648,0
38,closed,20000000,2,13-02-2007,01-01-2009,4,688,13557,14245,0
39,acquired,41815432,4,25-06-2009,03-02-2011,8,588,14420,15008,1
40,operating,247436,2,01-07-2011,15-07-2012,2,380,15156,15536,0
41,operating,3938578,2,24-04-2012,02-10-2013,1,526,15454,15980,0
42,acquired,,1,21-09-2011,21-09-2011,1,0,15238,15238,1
43,operating,3000000,1,18-08-2014,18-08-2014,1,0,16300,16300,0
44,operating,84000000,1,09-07-2012,09-07-2012,3,0,15530,15530,0
45,operating,815830,2,10-02-2011,10-05-2012,6,455,15015,15470,0
46,operating,140000,1,01-09-2009,01-09-2009,1,0,14488,14488,0
47,operating,789000,1,07-03-2007,07-03-2007,1,0,13579,13579,0
48,operating,19570000,3,05-03-2007,01-11-2008,7,607,13577,14184,0
49,operating,63590263,1,01-03-2011,01-03-2011,1,0,15034,15034,0
50,operating,,1,25-04-2013,25-04-2013,1,0,15820,15820,0
51,operating,,1,11-08-2014,11-08-2014,1,0,16293,16293,0
52,operating,4550000,1,02-02-2010,02-02-2010,3,0,14642,14642,0
53,operating,200000,1,01-08-2013,01-08-2013,1,0,15918,15918,0
54,operating,,1,01-11-2012,01-11-2012,4,0,15645,15645,0
55,operating,,1,01-09-2013,01-09-2013,1,0,15949,15949,0
56,acquired,36000000,2,28-03-2001,08-06-2004,10,1168,11409,12577,1
57,operating,3000000,1,20-03-2014,20-03-2014,3,0,16149,16149,0
58,acquired,2450000,2,05-10-2012,09-04-2014,8,551,15618,16169,1
59,operating,12944192,5,23-07-2013,17-04-2015,8,633,15909,16542,0
60,operating,1220000,2,12-03-2014,30-01-2015,4,324,16141,16465,0
61,operating,21250000,1,14-10-2002,14-10-2002,4,0,11974,11974,0
62,operating,390000,1,22-03-2011,22-03-2011,2,0,15055,15055,0
63,operating,40000,1,27-07-2012,27-07-2012,1,0,15548,15548,0
64,acquired,28200000,3,30-07-2007,14-02-2012,6,1660,13724,15384,1
65,operating,158775,2,01-09-2014,29-06-2015,1,301,16314,16615,0
66,operating,975000,3,30-12-2011,22-02-2013,1,420,15338,15758,0
67,acquired,631720,1,15-10-2009,15-10-2009,6,0,14532,14532,1
68,operating,2630000,4,01-01-2014,25-02-2015,1,420,16071,16491,0
69,operating,2243200,3,01-01-2006,01-06-2008,6,882,13149,14031,0
70,operating,600000,1,07-09-2015,07-09-2015,1,0,16685,16685,0
71,operating,3000000,1,01-01-1999,01-01-1999,2,0,10592,10592,0
72,operating,225000,2,01-12-2012,13-06-2013,2,194,15675,15869,0
73,operating,,1,01-03-2013,01-03-2013,1,0,15765,15765,0
74,operating,2630000,1,04-08-2010,04-08-2010,1,0,14825,14825,0
75,acquired,10691320,2,18-05-2005,01-11-2007,6,897,12921,13818,1
76,operating,,1,12-02-2009,12-02-2009,2,0,14287,14287,0
77,operating,1500000,1,30-04-2015,30-04-2015,1,0,16555,16555,0
78,operating,50000,1,02-05-2015,02-05-2015,1,0,16557,16557,0
79,operating,28192646,5,22-02-2011,19-11-2015,9,1731,15027,16758,0
80,operating,,1,16-12-2010,16-12-2010,1,0,14959,14959,0
81,operating,9315500,2,16-05-2005,14-09-2010,3,1947,12919,14866,0
82,operating,813646,2,27-02-2013,09-04-2014,5,406,15763,16169,0
83,operating,1850000,2,14-10-2011,05-03-2014,12,873,15261,16134,0
84,operating,,1,01-01-2011,01-01-2011,2,0,14975,14975,0
85,operating,7200000,1,13-03-2013,13-03-2013,2,0,15777,15777,0
86,operating,,1,01-01-2011,01-01-2011,1,0,14975,14975,0
87,operating,285837,1,09-11-2006,09-11-2006,23,0,13461,13461,0
88,operating,92936960,2,29-08-2013,23-11-2015,7,816,15946,16762,0
89,operating,,1,01-01-2009,01-01-2009,1,0,14245,14245,0
90,operating,2336224,2,14-01-2013,07-01-2014,1,358,15719,16077,0
91,operating,100000,1,04-01-2011,04-01-2011,1,0,14978,14978,0
92,operating,88000000,2,12-01-2010,20-09-2010,4,251,14621,14872,0
93,operating,1059907,1,04-11-2014,04-11-2014,4,0,16378,16378,0
94,operating,25000000,1,03-03-2014,03-03-2014,1,0,16132,16132,0
95,operating,30693206,1,29-09-2015,29-09-2015,4,0,16707,16707,0
96,operating,1250000,1,06-07-2015,06-07-2015,1,0,16622,16622,0
97,operating,145000,4,01-02-2013,09-04-2015,2,797,15737,16534,0
98,operating,3600000,1,06-06-2013,06-06-2013,3,0,15862,15862,0
99,operating,2900000,1,08-08-2014,08-08-2014,11,0,16290,16290,0
100,operating,15200000,3,22-07-2013,11-06-2015,1,689,15908,16597,0
101,operating,,2,01-02-2012,01-12-2012,3,304,15371,15675,0
102,operating,93500100,11,01-01-2007,20-05-2015,20,3061,13514,16575,0
103,closed,3200000,1,24-03-2011,24-03-2011,6,0,15057,15057,0
104,operating,1990000,1,09-03-2008,09-03-2008,1,0,13947,13947,0
105,operating,19024390,1,01-08-2008,01-08-2008,1,0,14092,14092,0
106,acquired,,1,01-12-2012,01-12-2012,1,0,15675,15675,1
107,operating,300000,2,30-05-2014,30-03-2015,3,304,16220,16524,0
108,closed,,1,01-01-2012,01-01-2012,1,0,15340,15340,0
109,operating,750000,1,24-01-2014,24-01-2014,1,0,16094,16094,0
110,operating,25000,1,01-03-2013,01-03-2013,1,0,15765,15765,0
111,operating,,2,01-01-2008,01-01-2008,3,0,13879,13879,0
112,operating,19600000,3,30-07-2010,20-10-2014,16,1543,14820,16363,0
113,operating,13923766,2,23-10-2007,01-10-2010,2,1074,13809,14883,0
114,operating,,1,09-09-2015,09-09-2015,1,0,16687,16687,0
115,operating,286000000,7,01-11-2007,16-02-2015,18,2664,13818,16482,0
116,operating,1711039,1,23-01-2015,23-01-2015,1,0,16458,16458,0
117,operating,,1,15-07-2014,15-07-2014,1,0,16266,16266,0
118,acquired,6000000,1,20-10-2003,20-10-2003,1,0,12345,12345,1
